#,Company,Symbol,Weight,Price,Change
1,Microsoft Corporation,MSFT,4.306542,141.23,-0.11 (-0.08%)
2,Apple Inc.,AAPL,3.627594,207.79,0.05 (0.02%)
3,Amazon.com Inc.,AMZN,3.272357,1938.9,-4.15 (-0.21%)
4,Facebook Inc. Class A,FB,1.933153,199.31,-0.44 (-0.22%)
5,Berkshire Hathaway Inc. Class B,BRK-B,1.614316,209.8,-0.10 (-0.05%)
6,JPMorgan Chase & Co.,JPM,1.504764,116.22,0.00 (0.00%)
7,Johnson & Johnson,JNJ,1.395611,130.72,-0.01 (-0.01%)
8,Alphabet Inc. Class C,GOOG,1.390948,1249,-1.41 (-0.11%)
9,Alphabet Inc. Class A,GOOGL,1.363636,1249.88,4.66 (0.37%)
10,Exxon Mobil Corporation,XOM,1.270959,74.64,-0.17 (-0.23%)
